Delegacia;Furtos na região;Roubo de carga;Roubos;Roubo de Veiculo;Furto de veiculo;Latrocinios;Homicídio doloso por acidente de trânsito;Homicídio Culposo por acidente de Trânsito;Homicídio Culposo;Tentativa de Homicídio;Lesão Corporal seguida de morte;Lesão Corporal Dolosa;Lesão Corporal Culposa por acidente de trânsito;Lesão Corporal Culposa;Estupro;Estupro de vulnerável;Roubo de veiculos;Roubo a Banco ;Ano
043 DP - Cidade Ademar;617,00;7,00;1607,00;0,00;82,00;4,00;0,00;3,00;0,00;5,00;1,00;229,00;63,00;3,00;5,00;11,00;145,00;1,00;2020
043 DP - Cidade Ademar;961,00;5,00;1159,00;0,00;146,00;2,00;0,00;1,00;0,00;10,00;0,00;245,00;92,00;4,00;10,00;19,00;307,00;0,00;2019
044 DP - Guaianazes;1299,00;73,00;1949,00;0,00;182,00;11,00;2,00;4,00;2,00;13,00;0,00;306,00;80,00;10,00;7,00;25,00;351,00;1,00;2020
044 DP - Guaianazes;1703,00;44,00;1806,00;0,00;237,00;14,00;0,00;0,00;0,00;5,00;0,00;383,00;112,00;0,00;7,00;35,00;534,00;0,00;2019
045 DP - Vila Brasilândia;693,00;30,00;602,00;0,00;112,00;9,00;0,00;3,00;0,00;4,00;0,00;258,00;62,00;4,00;4,00;25,00;63,00;0,00;2020
045 DP - Vila Brasilândia;748,00;33,00;830,00;1,00;109,00;7,00;0,00;3,00;0,00;8,00;1,00;263,00;90,00;8,00;10,00;28,00;189,00;0,00;2019
046 DP - Perus;1311,00;141,00;1431,00;2,00;242,00;25,00;0,00;19,00;0,00;16,00;0,00;538,00;174,00;7,00;10,00;67,00;336,00;0,00;2020
046 DP - Perus;1391,00;303,00;1623,00;0,00;386,00;20,00;0,00;28,00;0,00;24,00;0,00;513,00;174,00;13,00;17,00;61,00;499,00;0,00;2019
047 DP - Capão Redondo;1878,00;139,00;4314,00;5,00;256,00;32,00;0,00;9,00;0,00;27,00;1,00;812,00;235,00;6,00;12,00;75,00;311,00;0,00;2020
047 DP - Capão Redondo;1846,00;246,00;4061,00;3,00;317,00;28,00;0,00;8,00;0,00;32,00;1,00;892,00;365,00;13,00;20,00;84,00;381,00;0,00;2019
048 DP - Cidade Dutra;777,00;10,00;1073,00;0,00;101,00;2,00;0,00;2,00;0,00;4,00;0,00;172,00;104,00;3,00;3,00;11,00;92,00;0,00;2020
048 DP - Cidade Dutra;1698,00;10,00;1014,00;0,00;152,00;3,00;0,00;2,00;0,00;4,00;0,00;183,00;139,00;7,00;5,00;11,00;137,00;0,00;2019
049 DP - São Mateus;2195,00;104,00;2364,00;2,00;573,00;15,00;0,00;6,00;1,00;16,00;0,00;408,00;146,00;6,00;11,00;36,00;640,00;0,00;2020
049 DP - São Mateus;2652,00;135,00;2636,00;4,00;899,00;12,00;0,00;15,00;0,00;15,00;0,00;430,00;201,00;8,00;16,00;48,00;1056,00;0,00;2019
050 DP - Itaim Paulista;2078,00;18,00;2623,00;0,00;285,00;10,00;0,00;5,00;0,00;7,00;0,00;410,00;107,00;18,00;18,00;48,00;303,00;0,00;2020
050 DP - Itaim Paulista;2780,00;13,00;2936,00;1,00;457,00;4,00;0,00;7,00;0,00;8,00;0,00;490,00;151,00;33,00;17,00;40,00;533,00;0,00;2019
051 DP - Butantã;1265,00;27,00;1047,00;2,00;125,00;4,00;0,00;6,00;0,00;8,00;0,00;225,00;111,00;6,00;8,00;7,00;157,00;0,00;2020
051 DP - Butantã;1724,00;26,00;1446,00;3,00;183,00;0,00;0,00;3,00;0,00;4,00;0,00;243,00;143,00;6,00;11,00;12,00;220,00;0,00;2019
052 DP - Parque São Jorge;1606,00;9,00;506,00;1,00;190,00;2,00;0,00;0,00;0,00;3,00;1,00;149,00;119,00;2,00;3,00;6,00;26,00;0,00;2020
052 DP - Parque São Jorge;2251,00;22,00;624,00;1,00;426,00;0,00;0,00;2,00;1,00;0,00;0,00;140,00;77,00;10,00;5,00;10,00;44,00;0,00;2019
